BAP (2007),BIODIVERSITY_ACTION_PLAN
BAP (1998),BIODIVERSITY_ACTION_PLAN (1998)
Scottish List,SNH_SCOTTISH_LIST
Environment Agency Protected Species,ENVIRONMENT_AGENCY_PROTECTED_SPECIES
Species Framework List,SPECIES_FRAMEWORK_LIST
SNH 50 Common Wild Flowers,SNH_FLOWERS
SNH Bats,SNH_BATS
SNH Common Land Mammals,SNH_MAMMALS
SNH Garden Birds,SNH_BIRDS
SNH House Guests,SNH_HOUSE
SNH Seashore Life,SNH_SEASHORE
Welsh Species of Principal Importance,WELSH_SPECIES_OF_PRINCIPAL_IMPORTANCE
English Species of Principal Importance,ENGLISH_SPECIES_OF_PRINCIPAL_IMPORTANCE
JNCC collation of taxon designations,JNCC_COLLATION_OF_TAXON_DESIGNATIONS
