KEY,NAME
NHMSYS0000080031,acorn worm (Hemichordata)
NHMSYS0000080032,alga
NHMSYS0000080033,amphibian
NHMSYS0000080034,annelid
NHMSYS0000080036,arrow worm (Chaetognatha)
NHMSYS0000080037,bacterium
NHMSYS0000080038,beardworm (Pogonophora)
NHMSYS0000080039,bird
NHMSYS0000080040,bony fish (Actinopterygii)
NHMSYS0000080041,bryozoan
NHMSYS0000080042,cartilagenous fish (Chondrichthyes)
NHMSYS0000080043,centipede
NHMSYS0000080045,coelenterate (=cnidarian)
NHMSYS0000080046,comb jelly (Ctenophora)
NHMSYS0000080047,conifer
NHMSYS0000080048,crustacean
NHMSYS0000080049,cycliophoran
NHMSYS0000080050,diatom
NHMSYS0000080051,echinoderm
NHMSYS0000080052,entoproct
NHMSYS0000080053,flatworm (Turbellaria)
NHMSYS0000080054,flowering plant
NHMSYS0000080055,foraminiferan
NHMSYS0000080056,fungoid
NHMSYS0000080057,gastrotrich
NHMSYS0000080058,ginkgo
NHMSYS0000080059,gnathostomulid
NHMSYS0000080060,hairworm (Nematomorpha)
NHMSYS0000080061,hornwort
NHMSYS0000080062,horseshoe worm (Phoronida)
NHMSYS0000080064,insect - hymenopteran
NHMSYS0000080066,insect - beetle (Coleoptera)
NHMSYS0000080067,insect - butterfly
NHMSYS0000080068,insect - caddis fly (Trichoptera)
NHMSYS0000080069,insect - orthopteran
NHMSYS0000080071,insect - dragonfly (Odonata)
NHMSYS0000080073,insect - moth
NHMSYS0000080076,insect - true bug (Hemiptera)
NHMSYS0000080077,insect - true fly (Diptera)
NHMSYS0000080079,jawless fish (Agnatha)
NHMSYS0000080080,lampshell (Brachiopoda)
NHMSYS0000080081,lancelet (Cephalochordata)
NHMSYS0000080082,lichen
NHMSYS0000080083,liverwort
NHMSYS0000080084,loriciferan
NHMSYS0000080085,terrestrial mammal
NHMSYS0000080086,mesozoan
NHMSYS0000080087,millipede
NHMSYS0000080088,mollusc
NHMSYS0000080089,monogenean
NHMSYS0000080090,moss
NHMSYS0000080091,mud dragon (Kinorhyncha)
NHMSYS0000080092,parasitic roundworm (Nematoda)
NHMSYS0000080093,pauropod
NHMSYS0000080094,peanut worm (Sipuncula)
NHMSYS0000080095,placozoan
NHMSYS0000080096,priapulid
NHMSYS0000080097,protozoan
NHMSYS0000080098,fern
NHMSYS0000080099,reptile
NHMSYS0000080100,ribbon worm (Nemertinea)
NHMSYS0000080101,rotifer
NHMSYS0000080102,roundworm (Nematoda)
NHMSYS0000080104,sea spider (Pycnogonida)
NHMSYS0000080106,slime mould
NHMSYS0000080107,sponge (Porifera)
NHMSYS0000080108,spoon worm (Echiura)
NHMSYS0000080109,stonewort
NHMSYS0000080110,symphylan
NHMSYS0000080111,tapeworm (Cestoda)
NHMSYS0000080112,thorny-headed worm (Acanthocephala)
NHMSYS0000080113,tongue worm (Pentastomida)
NHMSYS0000080114,trematode
NHMSYS0000080115,tunicate (Urochordata)
NHMSYS0000080116,virus
NHMSYS0000080117,waterbear (Tardigrada)
NHMSYS0000375171,undetermined
NHMSYS0000375212,marine mammal
NHMSYS0000542205,unassigned
NHMSYS0000629143,archaean
NHMSYS0000629144,fungus
NHMSYS0000629145,horsetail
NHMSYS0000629146,quillwort
NHMSYS0000629147,clubmoss
NHMSYS0000629148,acarine (Acari)
NHMSYS0000629149,spider (Araneae)
NHMSYS0000629150,harvestman (Opiliones)
NHMSYS0000629151,scorpion
NHMSYS0000629152,false scorpion (Pseudoscorpiones)
NHMSYS0000629153,insect - mayfly (Ephemeroptera)
NHMSYS0000629154,insect - lacewing (Neuroptera)
NHMSYS0000629155,insect - scorpion fly (Mecoptera)
NHMSYS0000629156,insect - alderfly (Megaloptera)
NHMSYS0000629157,insect - cockroach (Dictyoptera)
NHMSYS0000629158,insect - stick insect (Phasmida)
NHMSYS0000629159,insect - earwig (Dermaptera)
NHMSYS0000629160,insect - stonefly (Plecoptera)
NHMSYS0000629161,insect - flea (Siphonaptera)
NHMSYS0000629162,insect - louse (Phthiraptera)
NHMSYS0000629163,insect - booklouse (Psocoptera)
NHMSYS0000629164,insect - snakefly (Raphidioptera)
NHMSYS0000629165,insect - stylops (Strepsiptera)
NHMSYS0000629166,insect - thrips (Thysanoptera)
NHMSYS0000629167,insect - bristletail (Archaeognatha)
NHMSYS0000629168,insect - silverfish (Thysanura)
NHMSYS0000629169,proturan
NHMSYS0000629170,springtail (Collembola)
NHMSYS0000629171,two-tailed bristletail (Diplura)
